JDSU	2006-11-14	2006-12-15
URBN	2005-12-19	2006-12-15
LNCR	2003-01-02	2006-12-15
RHAT	2005-12-19	2006-12-11
JDSUD	2006-10-17	2006-11-13
ATYT	2003-12-22	2006-10-23
JDSU	2003-01-02	2006-10-16
ERICY	2004-12-20	2006-08-23
PIXR	2003-01-02	2006-05-05
CHIR	2003-01-02	2006-04-19
NTLID	2006-03-06	2006-03-31
NTLI	2004-12-20	2006-03-03
SEBL	2003-01-02	2006-01-31
MCIP	2004-12-20	2006-01-06
MERQE	2005-08-15	2006-01-03
MLNM	2003-01-02	2005-12-16
QLGC	2003-01-02	2005-12-16
DLTR	2003-01-02	2005-12-16
CECO	2003-12-22	2005-12-16
SANM	2003-01-02	2005-12-16
NVLS	2003-01-02	2005-12-16
LVLT	2003-12-22	2005-12-16
ISIL	2003-12-22	2005-12-16
SNPS	2003-01-02	2005-12-16
MOLX	2005-03-24	2005-12-16
IVGN	2003-01-02	2005-12-16
SSCC	2003-01-02	2005-12-16
CHRWD	2005-10-17	2005-11-11
CHRW	2003-01-02	2005-10-14
IACID	2005-08-09	2005-09-06
NXTL	2003-01-02	2005-08-12
MERQ	2003-01-02	2005-08-12
IACI	2003-06-23	2005-08-08
VRTS	2005-04-13	2005-07-01
VRTSE	2005-04-05	2005-04-12
VRTS	2004-06-16	2005-04-04
KMRT	2004-08-19	2005-03-24
MOLXE	2004-11-17	2005-03-23
PSFT	2003-01-02	2004-12-28
CPWR	2003-01-02	2004-12-17
CEPH	2003-01-02	2004-12-17
NVDA	2003-01-02	2004-12-17
FHCC	2003-01-02	2004-12-17
GNTX	2003-01-02	2004-12-17
HSIC	2003-01-02	2004-12-17
RYAAY	2003-01-02	2004-12-17
PTEN	2003-01-02	2004-12-17
MOLX	2003-01-02	2004-11-16
SPOT	2003-01-02	2004-08-18
VRTSE	2004-03-19	2004-06-15
VRTS	2003-01-02	2004-03-18
BRCD	2003-01-02	2003-12-19
HGSI	2003-01-02	2003-12-19
MNST	2003-05-01	2003-12-19
CIEN	2003-01-02	2003-12-19
ERICY	2003-01-02	2003-12-19
RFMD	2003-01-02	2003-12-19
ADCT	2003-01-02	2003-12-19
ICOS	2003-01-02	2003-12-19
IDPH	2003-01-02	2003-11-12
BGEN	2003-01-02	2003-11-12
USAI	2003-01-02	2003-06-20
TMPW	2003-01-02	2003-04-30
